id,username,name,type,description,location,district,missing_date,photo_main
11,abc,red foot tortoise,pet,"Chalky
a 30-year-old tortoise
missing in Sai Kung 
30 cm - 35 cm
2 kg","sai kung road , flat 12",Sai Kung,2025-12-02 12:15:00+00:00,photos/2026/08/13/images.jpeg
17,aaa,Tim,pet,"red eared slider
23cm - 25cm
the turtle shell is about 7 inches long and it is a female Red Eared Slider turtle, it was lost in afternoon",ABC road ,Yuen Long,2026-07-15 18:10:00+00:00,photos/2026/08/16/turtle1.jpeg
18,aaa,brown wallet,object,"brown wallet , i found it on BC road",BC road ,Yau Tsim Mong,2026-08-15 10:11:00+00:00,photos/2026/08/17/wallet1.jpeg
20,tom123,poodle,pet,"Po Nga Road; near Tai Wo Shopping Centre
Male Golden Retriever/Poodle, red, 1 year, 25 lbs.",Po Nga Road; near Tai Wo Shopping Centre,Tai Po,2026-08-11 11:11:00+00:00,photos/2026/08/17/dog2.jpeg
21,tom123,cat,pet,"cat 
20 cm - 22 cm
66 Shui Che Kwun St, Yuen Long","66 Shui Che Kwun St, Yuen Long",Yuen Long,2026-08-13 16:07:00+00:00,photos/2026/08/17/cat2.jpeg
22,momo123,Mary White,people,"Description(at the time of missing):
50 years, 1.63M, 57KG, Normal Build, White Complexion, Square Face, brown Hair

Last seen wearing:
Long sleeves shirt in blue yellow colour, trousers in dark colour, dark grey shoes and a purple backpack. The subject is hunchbacked.","Hong Kong Island Region, Scout Association of Hong Kong",Islands,2026-07-15 18:05:00+00:00,photos/2026/08/17/staff2.jpeg
23,momo123,lizard,pet,"Yellow lizard
discover in Sham Shui Po","235 Yee Kuk St, Sham Shui Po",Sham Shui Po,2026-08-22 00:00:00+00:00,photos/2026/08/17/lizard1.jpeg
4,many104723,Mary White,people,"Mary White
160cm
56kg.","1000 flat, BCD road",Tuen Mun,2026-07-11 12:00:00+00:00,photos/2026/08/12/staff2.jpeg
7,many104723,Nokia,object,missing the nokia in Kwai Tsing,"flat 1212 , ABC road",Kwai Tsing,2026-03-06 10:02:00+00:00,photos/2026/08/14/phone1.jpg
40,abc,Boba,pet,"Female Tuxedo cat
black and white fur, white paws
Microchipped, very friendly and responds to treats",Star Street Precinct (Near Sun Street),Wan Chai,2026-08-19 14:20:00+00:00,photos/2026/08/20/cat5.jpeg
39,abc,Simba,pet,"Orange Ginger Tabby
Male, desexed, tipped left ear (TNR mark)
Spotted near residential block garden",City One Shatin (Block 18 vicinity),Sha Tin,2026-08-18 09:45:00+00:00,photos/2026/08/20/cat6.jpeg
34,abc,Peanut,pet,"Calico cat (Tri-color: orange, black, white)
Small frame, wearing a red quick-release safety collar with a tiny bell","Yuet Wah Street, Kwun Tong",Kwun Tong,2026-08-12 17:40:00+00:00,
31,May1234,Coco,pet,"Brown Toy Poodle
Male, wearing a yellow harness, microchipped
Very active, ran off towards the park area","Penfold Park, Sha Tin",Sha Tin,2026-08-05 10:15:00+00:00,photos/2026/08/20/dog5.jpeg
36,lauhohi,Luna,pet,"Siamese Mix cat
Cream colored body with dark brown points and blue eyes
Very curious, slipped out through window screen!",Knutsford Terrace area,Yau Tsim Mong,2026-08-15 22:00:00+00:00,photos/2026/08/20/cat8.jpeg
19,tom123,iphone 16,object,"iphone 16
black color
having a little cracks on a phone screen 11",BBC road,Kwai Tsing,2026-08-13 12:44:00+00:00,photos/2026/08/17/phone1.jpeg
12,abc,cat,pet,"- gray color
- 20 cmqq",ABC road,Tai Po,2026-04-04 18:15:00+00:00,photos/2026/08/13/cat1.jpg
